onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	9	central	canonical	canonical	0.953
10.000	1.000	structured	1	2	8	central	canonical	canonical	0.771
16.000	1.000	structured	1	2	7	central	canonical	canonical	0.760
22.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.697
28.000	1.000	structured	1	2	6	central	canonical	canonical	0.740
30.000	1.000	structured	1	2	8	central	canonical	canonical	0.757
34.000	1.000	structured	1	2	5	central	canonical	canonical	0.676
40.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.693
42.000	1.000	structured	1	2	5	central	rotated	rotated	0.789
44.000	1.000	structured	1	2	8	central	canonical	canonical	0.738
46.000	1.000	structured	1	2	6	central	canonical	canonical	0.715
48.000	1.000	structured	1	2	9	central	canonical	canonical	0.676
50.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.638
54.000	1.000	structured	1	2	9	central	rotated	rotated	0.728
58.000	1.000	structured	1	2	8	central	canonical	canonical	0.633
60.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.675
64.000	1.000	structured	1	2	5	central	canonical	canonical	0.894
70.000	1.000	structured	1	2	6	central	canonical	canonical	0.711
74.000	1.000	structured	1	2	5	central	rotated	rotated	0.863
78.000	1.000	structured	1	2	9	central	canonical	canonical	0.749
84.000	1.000	structured	1	2	5	central	rotated	rotated	0.779
86.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.710
88.000	1.000	structured	2	3	11	boundary	canonical	canonical	0.882
92.000	1.000	structured	2	2	10	boundary	rotated	rotated	0.854
96.000	1.000	structured	2	2	9	central	canonical	canonical	0.774
102.000	1.000	structured	2	2	7	central	canonical	canonical	0.754
104.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.820
106.000	1.000	structured	2	2	9	central	canonical	canonical	0.773
112.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.716
114.000	1.000	structured	2	2	5	central	canonical	canonical	0.687
116.000	1.000	structured	2	2	6	central	canonical	canonical	0.677
120.000	1.000	structured	2	2	5	central	rotated	rotated	0.778
126.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.613
132.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.731
136.000	1.000	structured	2	1	1	central	canonical	canonical	0.812
142.000	1.000	structured	2	1	20	central	canonical	canonical	0.706
144.000	1.000	structured	2	1	19	central	canonical	canonical	0.681
148.000	1.000	structured	2	1	20	central	rotated	rotated	0.918
150.000	1.000	structured	2	1	2	central	canonical	canonical	0.717
154.000	1.000	structured	2	1	20	central	rotated	rotated	0.917
160.000	1.000	structured	2	1	1	central	canonical	canonical	0.884
166.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.712
172.000	1.000	scrambled	3	3	14	central	canonical	canonical	0.773
176.000	1.000	scrambled	3	2	8	central	canonical	canonical	0.762
178.000	1.000	scrambled	3	3	17	boundary	canonical	n/a	n/a
180.000	1.000	scrambled	3	2	9	central	canonical	canonical	0.595
186.000	1.000	scrambled	3	2	5	central	canonical	canonical	0.732
188.000	1.000	scrambled	3	1	1	central	canonical	canonical	0.720
192.000	1.000	scrambled	3	3	12	central	canonical	canonical	0.687
194.000	1.000	scrambled	3	2	4	boundary	canonical	canonical	0.530
198.000	1.000	scrambled	3	2	7	central	canonical	canonical	0.685
204.000	1.000	scrambled	3	3	13	central	canonical	canonical	0.686
208.000	1.000	scrambled	3	1	19	central	canonical	canonical	0.604
212.000	1.000	scrambled	3	2	6	central	canonical	canonical	0.786
214.000	1.000	scrambled	3	1	3	boundary	canonical	canonical	0.654
216.000	1.000	scrambled	3	1	2	central	canonical	canonical	0.688
220.000	1.000	scrambled	3	1	18	boundary	canonical	canonical	0.579
226.000	1.000	scrambled	3	3	11	boundary	canonical	canonical	0.543
230.000	1.000	scrambled	3	1	21	central	canonical	canonical	0.640
234.000	1.000	scrambled	3	3	16	central	canonical	n/a	n/a
238.000	1.000	scrambled	3	1	20	central	canonical	canonical	0.795
244.000	1.000	scrambled	3	3	15	central	canonical	canonical	0.690
250.000	1.000	scrambled	3	2	10	boundary	canonical	canonical	0.645
256.000	1.000	structured	4	2	9	central	canonical	canonical	0.750
260.000	1.000	structured	4	2	10	boundary	rotated	rotated	0.735
264.000	1.000	structured	4	2	7	central	canonical	canonical	0.672
268.000	1.000	structured	4	2	6	central	canonical	canonical	0.680
274.000	1.000	structured	4	2	8	central	canonical	canonical	0.658
278.000	1.000	structured	4	2	9	central	canonical	canonical	0.726
282.000	1.000	structured	4	2	8	central	rotated	rotated	0.935
286.000	1.000	structured	4	2	10	boundary	canonical	canonical	0.830
288.000	1.000	structured	4	2	8	central	rotated	rotated	0.919
294.000	1.000	structured	4	2	9	central	canonical	canonical	0.773
298.000	1.000	structured	4	2	5	central	canonical	canonical	0.745
300.000	1.000	structured	4	2	7	central	canonical	canonical	0.752
302.000	1.000	structured	4	2	4	boundary	canonical	canonical	0.638
