onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.713
1.500	1.500	structured	1	1	1	central	canonical	canonical	0.616
3.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.566
4.500	1.500	structured	1	1	2	central	canonical	canonical	0.568
6.000	1.500	structured	1	1	21	central	canonical	canonical	0.541
7.500	1.500	structured	1	1	2	central	rotated	rotated	0.966
9.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.650
10.500	1.500	structured	1	1	1	central	canonical	canonical	0.576
12.000	1.500	structured	1	1	3	boundary	rotated	rotated	0.839
13.500	1.500	structured	1	1	21	central	canonical	canonical	0.609
15.000	1.500	structured	1	1	20	central	canonical	canonical	0.626
16.500	1.500	structured	1	1	19	central	canonical	canonical	0.823
18.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.705
19.500	1.500	structured	1	1	20	central	canonical	canonical	0.590
21.000	1.500	structured	1	1	19	central	canonical	canonical	0.684
22.500	1.500	structured	1	1	20	central	rotated	rotated	0.800
24.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.657
25.500	1.500	structured	1	1	1	central	canonical	canonical	0.614
27.000	1.500	structured	1	1	2	central	canonical	canonical	0.580
28.500	1.500	structured	1	1	21	central	canonical	canonical	0.594
30.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.666
31.500	1.500	structured	1	1	21	central	rotated	rotated	0.892
33.000	1.500	structured	1	1	20	central	canonical	canonical	0.556
34.500	1.500	structured	1	1	21	central	rotated	rotated	0.806
36.000	1.500	structured	1	1	19	central	canonical	canonical	0.641
37.500	1.500	structured	1	1	20	central	canonical	canonical	0.662
39.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.788
40.500	1.500	structured	1	1	20	central	rotated	rotated	0.911
42.000	1.500	structured	1	1	19	central	canonical	canonical	0.668
43.500	1.500	structured	1	1	21	central	canonical	canonical	0.926
45.000	1.500	structured	1	1	2	central	canonical	canonical	0.781
46.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.826
48.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.759
49.500	1.500	structured	1	3	14	central	canonical	canonical	0.797
51.000	1.500	structured	1	3	13	central	canonical	canonical	0.771
52.500	1.500	structured	1	3	12	central	canonical	canonical	0.744
54.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.677
55.500	1.500	structured	1	3	14	central	canonical	canonical	0.606
57.000	1.500	structured	1	3	15	central	canonical	canonical	0.692
58.500	1.500	structured	1	3	16	central	canonical	canonical	0.619
60.000	1.500	structured	1	3	14	central	canonical	canonical	0.720
61.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.675
63.000	1.500	structured	1	3	16	central	canonical	canonical	0.632
64.500	1.500	structured	1	3	13	central	canonical	canonical	0.624
66.000	1.500	structured	1	3	15	central	canonical	canonical	0.622
67.500	1.500	structured	1	3	13	central	rotated	rotated	0.900
69.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.683
70.500	1.500	structured	1	3	12	central	canonical	canonical	0.615
72.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.799
73.500	1.500	structured	1	3	14	central	canonical	canonical	0.669
75.000	1.500	structured	1	3	16	central	canonical	canonical	0.597
76.500	1.500	structured	1	3	12	central	canonical	canonical	0.629
78.000	1.500	structured	1	3	16	central	rotated	rotated	0.800
79.500	1.500	structured	1	3	12	central	rotated	rotated	0.872
81.000	1.500	structured	1	3	13	central	canonical	canonical	0.570
82.500	1.500	structured	1	3	16	central	canonical	canonical	0.608
84.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.649
85.500	1.500	structured	1	3	15	central	canonical	canonical	0.581
87.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.617
88.500	1.500	structured	1	3	12	central	canonical	canonical	0.612
90.000	1.500	structured	1	3	15	central	canonical	canonical	0.658
91.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.525
93.000	1.500	structured	1	3	13	central	canonical	canonical	0.507
94.500	1.500	structured	1	3	15	central	canonical	canonical	0.574
96.000	1.500	structured	1	3	12	central	canonical	canonical	0.740
97.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.603
99.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.729
100.500	1.500	structured	1	2	7	central	canonical	canonical	0.713
102.000	1.500	structured	1	2	9	central	canonical	canonical	0.769
103.500	1.500	structured	1	2	8	central	canonical	canonical	0.739
105.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.733
106.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.711
108.000	1.500	structured	1	1	21	central	canonical	canonical	0.666
109.500	1.500	structured	1	1	20	central	canonical	canonical	0.618
111.000	1.500	structured	1	1	2	central	canonical	canonical	0.636
112.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.645
114.000	1.500	structured	1	1	1	central	canonical	canonical	0.659
115.500	1.500	structured	1	1	2	central	canonical	canonical	0.652
117.000	1.500	structured	1	1	20	central	canonical	canonical	0.641
118.500	1.500	structured	1	1	19	central	canonical	canonical	0.587
120.000	1.500	structured	1	1	1	central	canonical	canonical	0.540
121.500	1.500	structured	1	1	20	central	canonical	canonical	0.688
123.000	1.500	structured	1	1	1	central	rotated	rotated	0.992
124.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.662
126.000	1.500	structured	1	1	21	central	canonical	canonical	0.728
127.500	1.500	structured	1	1	20	central	canonical	canonical	0.717
129.000	1.500	structured	1	1	2	central	canonical	canonical	0.662
130.500	1.500	structured	1	1	20	central	rotated	rotated	0.921
132.000	1.500	structured	1	1	19	central	canonical	canonical	0.551
133.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.646
135.000	1.500	structured	1	1	1	central	canonical	canonical	0.695
136.500	1.500	structured	1	1	21	central	canonical	canonical	0.677
138.000	1.500	structured	1	1	1	central	rotated	rotated	0.874
139.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.621
141.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.661
142.500	1.500	structured	1	3	13	central	canonical	canonical	0.618
144.000	1.500	structured	1	3	17	boundary	rotated	rotated	1.360
145.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.668
147.000	1.500	structured	1	1	2	central	canonical	canonical	0.723
148.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.781
150.000	1.500	structured	1	1	20	central	canonical	canonical	0.622
151.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.656
153.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.645
154.500	1.500	structured	1	3	14	central	canonical	canonical	0.767
156.000	1.500	structured	1	3	12	central	canonical	canonical	0.693
157.500	1.500	structured	1	3	14	central	rotated	rotated	1.134
159.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.666
160.500	1.500	structured	1	3	15	central	canonical	canonical	0.590
162.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.591
163.500	1.500	structured	1	3	13	central	canonical	canonical	0.557
165.000	1.500	structured	1	3	12	central	canonical	canonical	0.584
166.500	1.500	structured	1	3	15	central	canonical	canonical	0.634
168.000	1.500	structured	1	3	13	central	canonical	canonical	0.547
169.500	1.500	structured	1	3	12	central	canonical	canonical	0.570
171.000	1.500	structured	1	3	14	central	canonical	canonical	0.724
172.500	1.500	structured	1	3	16	central	canonical	canonical	0.588
174.000	1.500	structured	1	3	12	central	canonical	canonical	0.572
175.500	1.500	structured	1	3	14	central	canonical	canonical	0.681
177.000	1.500	structured	1	3	12	central	rotated	rotated	1.002
178.500	1.500	structured	1	3	13	central	canonical	canonical	0.625
180.000	1.500	structured	1	3	14	central	canonical	canonical	0.728
181.500	1.500	structured	1	3	13	central	rotated	rotated	1.116
183.000	1.500	structured	1	3	12	central	canonical	canonical	0.653
184.500	1.500	structured	1	3	15	central	canonical	canonical	0.735
186.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.919
187.500	1.500	structured	1	3	14	central	canonical	canonical	0.686
189.000	1.500	structured	1	3	17	boundary	rotated	rotated	1.353
190.500	1.500	structured	1	3	14	central	rotated	rotated	1.170
192.000	1.500	structured	1	3	15	central	canonical	canonical	0.768
193.500	1.500	structured	1	3	14	central	rotated	rotated	1.135
195.000	1.500	structured	1	3	13	central	canonical	canonical	0.831
196.500	1.500	structured	1	3	11	boundary	canonical	canonical	1.203
198.000	1.500	structured	1	3	12	central	canonical	canonical	0.852
199.500	1.500	structured	1	3	11	boundary	rotated	rotated	1.068
201.000	1.500	structured	1	3	12	central	rotated	rotated	0.911
202.500	1.500	structured	1	3	15	central	canonical	canonical	0.812
204.000	1.500	structured	1	3	16	central	canonical	canonical	0.778
205.500	1.500	structured	1	3	15	central	rotated	rotated	0.838
207.000	1.500	structured	1	3	14	central	canonical	canonical	0.781
208.500	1.500	structured	1	3	15	central	rotated	rotated	0.989
210.000	1.500	structured	1	3	14	central	rotated	rotated	0.940
211.500	1.500	structured	1	3	15	central	rotated	rotated	0.945
213.000	1.500	structured	1	3	11	boundary	canonical	canonical	0.758
214.500	1.500	structured	1	3	13	central	canonical	canonical	0.663
216.000	1.500	structured	1	3	15	central	canonical	canonical	0.925
217.500	1.500	structured	1	3	14	central	canonical	canonical	0.907
