onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	1	20	central	canonical	canonical	0.964
6.000	1.000	structured	1	1	19	central	canonical	canonical	0.649
8.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.640
14.000	1.000	structured	1	1	2	central	canonical	canonical	0.613
18.000	1.000	structured	1	1	20	central	canonical	canonical	0.689
24.000	1.000	structured	1	1	2	central	rotated	rotated	0.794
30.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.629
36.000	1.000	structured	1	1	19	central	canonical	canonical	0.595
42.000	1.000	structured	1	1	2	central	canonical	canonical	0.645
48.000	1.000	structured	1	1	21	central	canonical	canonical	0.652
54.000	1.000	structured	1	1	19	central	canonical	canonical	0.643
58.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.831
62.000	1.000	structured	1	1	2	central	canonical	canonical	0.886
66.000	1.000	structured	1	1	21	central	canonical	canonical	0.604
72.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.711
74.000	1.000	structured	1	1	21	central	rotated	rotated	0.766
78.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.674
82.000	1.000	structured	1	1	2	central	canonical	canonical	0.823
88.000	1.000	structured	1	1	3	boundary	rotated	rotated	0.918
94.000	1.000	structured	1	1	1	central	canonical	canonical	0.987
98.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.635
102.000	1.000	scrambled	2	3	11	boundary	canonical	canonical	0.625
106.000	1.000	scrambled	2	3	12	central	canonical	canonical	0.690
110.000	1.000	scrambled	2	2	8	central	canonical	canonical	0.628
114.000	1.000	scrambled	2	2	4	boundary	canonical	canonical	0.616
118.000	1.000	scrambled	2	1	19	central	canonical	canonical	0.569
122.000	1.000	scrambled	2	3	14	central	canonical	canonical	0.590
124.000	1.000	scrambled	2	1	18	boundary	canonical	canonical	0.729
128.000	1.000	scrambled	2	2	6	central	canonical	canonical	0.554
132.000	1.000	scrambled	2	1	20	central	canonical	canonical	0.538
136.000	1.000	scrambled	2	1	2	central	canonical	canonical	0.983
138.000	1.000	scrambled	2	1	3	boundary	canonical	canonical	0.632
140.000	1.000	scrambled	2	1	21	central	canonical	canonical	0.746
144.000	1.000	scrambled	2	2	7	central	canonical	canonical	0.625
150.000	1.000	scrambled	2	2	10	boundary	canonical	canonical	0.529
156.000	1.000	scrambled	2	1	1	central	canonical	canonical	0.649
158.000	1.000	scrambled	2	2	5	central	canonical	canonical	0.647
164.000	1.000	scrambled	2	3	13	central	canonical	canonical	0.605
166.000	1.000	scrambled	2	3	15	central	canonical	canonical	0.608
168.000	1.000	scrambled	2	3	16	central	canonical	canonical	0.589
172.000	1.000	scrambled	2	2	9	central	canonical	canonical	0.514
174.000	1.000	scrambled	2	3	17	boundary	canonical	canonical	0.564
176.000	1.000	structured	3	3	15	central	canonical	canonical	0.601
178.000	1.000	structured	3	3	13	central	canonical	canonical	0.649
184.000	1.000	structured	3	3	17	boundary	canonical	canonical	0.703
190.000	1.000	structured	3	3	16	central	canonical	canonical	0.637
192.000	1.000	structured	3	3	17	boundary	rotated	rotated	0.855
194.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.594
196.000	1.000	structured	3	1	21	central	canonical	canonical	0.584
200.000	1.000	structured	3	1	20	central	canonical	canonical	0.624
204.000	1.000	structured	3	1	21	central	rotated	rotated	0.726
206.000	1.000	structured	3	1	19	central	canonical	canonical	0.606
212.000	1.000	structured	3	1	21	central	rotated	rotated	0.737
214.000	1.000	structured	3	1	19	central	rotated	rotated	0.851
220.000	1.000	structured	3	1	20	central	canonical	canonical	0.706
226.000	1.000	structured	3	1	21	central	canonical	canonical	0.790
232.000	1.000	structured	3	1	19	central	canonical	canonical	0.871
236.000	1.000	structured	3	1	2	central	canonical	canonical	0.684
242.000	1.000	structured	3	1	1	central	canonical	canonical	0.626
244.000	1.000	structured	3	1	2	central	rotated	rotated	0.867
248.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.640
250.000	1.000	structured	3	1	2	central	rotated	n/a	n/a
254.000	1.000	structured	3	1	18	boundary	rotated	canonical	0.577
256.000	1.000	structured	4	1	21	central	canonical	canonical	0.531
262.000	1.000	structured	4	1	18	boundary	rotated	rotated	0.722
266.000	1.000	structured	4	1	20	central	canonical	canonical	0.682
268.000	1.000	structured	4	1	19	central	canonical	canonical	0.715
270.000	1.000	structured	4	1	2	central	canonical	canonical	0.875
274.000	1.000	structured	4	1	1	central	canonical	canonical	0.758
276.000	1.000	structured	4	1	19	central	canonical	canonical	0.773
278.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.690
284.000	1.000	structured	4	1	19	central	rotated	canonical	0.636
286.000	1.000	structured	4	1	3	boundary	rotated	rotated	0.776
292.000	1.000	structured	4	2	4	boundary	canonical	canonical	0.929
296.000	1.000	structured	4	1	3	boundary	rotated	rotated	0.690
298.000	1.000	structured	4	1	21	central	canonical	canonical	0.556
304.000	1.000	structured	4	1	2	central	canonical	canonical	0.619
308.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.608
310.000	1.000	structured	4	1	20	central	canonical	canonical	0.617
316.000	1.000	structured	4	1	2	central	canonical	canonical	0.519
320.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.602
322.000	1.000	structured	4	2	4	boundary	canonical	canonical	0.723
326.000	1.000	structured	4	2	5	central	canonical	canonical	0.588
332.000	1.000	structured	4	2	8	central	canonical	canonical	0.683
338.000	1.000	scrambled	5	1	18	boundary	canonical	canonical	0.720
340.000	1.000	scrambled	5	1	3	boundary	canonical	canonical	0.599
